valence_intensity,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,sentiment
0.47,0.3863333333333333,0.4186666666666667,0.2993333333333333,0.3753333333333333,0
0.4695,0.4405,0.4715,0.3265,0.4345,0
0.4803333333333333,0.4826666666666666,0.429,0.3286666666666666,0.4386666666666666,0
0.4885,0.486,0.4455,0.3805,0.4095,0
0.497,0.304,0.38,0.309,0.387,0
0.4855,0.38975,0.38175,0.33375,0.3615,0
0.503,0.377,0.462,0.296,0.396,0
0.489,0.489,0.422,0.3389999999999999,0.392,0
0.517,0.4335,0.408,0.35,0.3715,0
0.497,0.3775,0.395,0.3465,0.388,0
0.507,0.449,0.508,0.347,0.358,0
0.4846666666666667,0.358,0.366,0.314,0.4023333333333334,0
0.486,0.4639999999999999,0.41,0.284,0.4,0
0.4635,0.42825,0.422,0.3017499999999999,0.42875,0
0.506,0.499,0.335,0.344,0.422,0
0.485,0.315,0.434,0.305,0.355,0
0.5096,0.4248,0.3991999999999999,0.3426999999999999,0.3586,0
0.493,0.4465,0.4125,0.3345,0.394,0
0.4992222222222222,0.4884444444444444,0.392,0.3078888888888889,0.3986666666666666,0
0.49,0.4415,0.4225,0.3189999999999999,0.409,0
0.508,0.506,0.4039999999999999,0.32,0.384,0
0.5235000000000001,0.4669999999999999,0.3845,0.348,0.3605,0
0.4925,0.396,0.406,0.3135,0.363,0
0.4893333333333333,0.4296666666666666,0.405,0.3103333333333333,0.3986666666666667,0
0.4836666666666667,0.4243333333333334,0.4105,0.3381666666666666,0.3696666666666666,0
0.5129999999999999,0.436,0.3715,0.345,0.38,0
0.515,0.386,0.368,0.348,0.276,0
0.506375,0.46625,0.38,0.3225,0.36775,0
0.47025,0.4513928571428572,0.4214642857142857,0.2811428571428572,0.3918214285714286,0
0.4695555555555555,0.405,0.4471111111111111,0.3311666666666666,0.3810555555555555,0
0.4946666666666666,0.4793333333333334,0.4216666666666666,0.2826666666666667,0.4076666666666666,0
0.491,0.4455,0.421,0.3359999999999999,0.416,0
0.5,0.369,0.36,0.377,0.342,0
0.509,0.336,0.407,0.3939999999999999,0.376,0
0.4755,0.4748333333333334,0.4291666666666667,0.2961666666666666,0.4308333333333333,0
0.512,0.446,0.426,0.254,0.349,0
0.52,0.462,0.39,0.302,0.356,0
0.5205,0.4289999999999999,0.3864999999999999,0.342,0.395,0
0.4643333333333332,0.408,0.457,0.292,0.3716666666666666,0
0.483,0.372,0.3929999999999999,0.3379999999999999,0.364,0
0.479,0.4065,0.4085,0.2625,0.4035,0
0.494,0.317,0.376,0.22,0.405,0
0.487,0.42,0.431,0.28,0.387,0
0.484,0.455,0.397,0.321,0.396,0
0.49,0.4613333333333333,0.3923333333333333,0.3196666666666667,0.4183333333333333,0
0.507,0.382,0.392,0.276,0.392,0
0.4845,0.397,0.486,0.3295,0.415,0
0.4851666666666666,0.4224999999999999,0.4311666666666666,0.3244999999999999,0.3783333333333333,0
0.513,0.467,0.419,0.253,0.428,0
0.505,0.48,0.413,0.379,0.4479999999999999,0
0.495,0.4875,0.4125,0.2975,0.391,0
0.469,0.4155,0.4865,0.295,0.3645,0
0.48,0.396,0.462,0.25,0.374,0
0.5033333333333333,0.4383333333333333,0.4213333333333333,0.329,0.3733333333333333,0
0.4732499999999999,0.368,0.4265,0.32325,0.38525,0
0.4875,0.4425,0.359,0.271,0.3764999999999999,0
0.506,0.407,0.373,0.35,0.411,0
0.512,0.449,0.397,0.3329999999999999,0.346,0
0.52,0.397,0.441,0.365,0.421,0
0.5056,0.4434,0.4012,0.3293999999999999,0.4044,0
